0;2500;2750;3000;3250;3500;3750;4000
1000;0;50.40650407;107.3170732;160.1626016;217.0731707;269.9186992;321.1382114
1100;30.08130081;85.36585366;146.3414634;199.1869919;260.1626016;313.0081301;367.4796748
1200;62.60162602;119.5121951;182.9268293;239.8373984;302.4390244;357.7235772;414.6341463
1300;95.12195122;154.4715447;219.5121951;278.0487805;345.5284553;402.4390244;460.9756098
1400;127.6422764;188.6178862;257.7235772;317.0731707;386.1788618;447.1544715;508.1300813
1500;160.1626016;223.5772358;294.3089431;357.7235772;428.4552846;491.8699187;554.4715447
1600;192.6829268;257.7235772;330.8943089;395.9349593;471.5447154;536.5853659;601.6260163
1700;223.5772358;290.2439024;369.9186992;436.5853659;513.8211382;581.300813;647.9674797
1800;256.097561;325.203252;406.504065;475.6097561;556.9105691;626.0162602;695.1219512
1900;288.6178862;359.3495935;443.0894309;513.8211382;597.5609756;670.7317073;741.4634146
2000;321.1382114;394.3089431;481.300813;554.4715447;639.8373984;715.4471545;788.6178862
